tracking_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,
ENSG00000017483.15,5007.327678,-4.925505165,0.830066717,-5.933866595,2.96E-09,1.53E-06,ENSG00000017483.15,SLC38A5
ENSG00000044459.15,163.2944682,-5.114289538,0.710397779,-7.199191342,6.06E-13,2.62E-09,ENSG00000044459.15,CNTLN
ENSG00000087206.17,2111.480899,-4.747485843,0.896539702,-5.295343679,1.19E-07,2.94E-05,ENSG00000087206.17,UIMC1
ENSG00000090539.15,13.98364287,-4.191768421,0.689427185,-6.080074168,1.20E-09,7.41E-07,ENSG00000090539.15,CHRD
ENSG00000092421.17,7411.167796,-4.684193752,0.693977918,-6.749773486,1.48E-11,2.74E-08,ENSG00000092421.17,SEMA6A
ENSG00000094914.14,29.3418705,-6.019050012,0.876381855,-6.868067813,6.51E-12,1.33E-08,ENSG00000094914.14,AAAS
ENSG00000104081.14,160.026983,-4.542910791,0.767600709,-5.918325421,3.25E-09,1.64E-06,ENSG00000104081.14,BMF
ENSG00000105443.15,10462.05878,-5.227253151,0.69903433,-7.477820366,7.56E-14,3.67E-10,ENSG00000105443.15,CYTH2
ENSG00000110195.14,133.2743772,-4.561008505,0.835113545,-5.461542963,4.72E-08,1.33E-05,ENSG00000110195.14,FOLR1
ENSG00000111445.14,332.4440537,-5.2444556,0.666546744,-7.868098745,3.60E-15,3.50E-11,ENSG00000111445.14,RFC5
ENSG00000121579.13,9966.022169,-5.063114131,0.660123949,-7.669944624,1.72E-14,1.11E-10,ENSG00000121579.13,NAA50
ENSG00000125804.14,24.89706105,-5.945738784,1.165954741,-5.099459331,3.41E-07,7.23E-05,ENSG00000125804.14,FAM182A
ENSG00000126249.8,868.6245229,-6.387891157,0.900886504,-7.090672497,1.33E-12,4.71E-09,ENSG00000126249.8,PDCD2L
ENSG00000134243.12,52.94817454,-7.481177299,1.240487367,-6.030837151,1.63E-09,9.46E-07,ENSG00000134243.12,SORT1
ENSG00000136160.17,4741.70993,-4.155282272,0.737513968,-5.634174337,1.76E-08,6.33E-06,ENSG00000136160.17,EDNRB
ENSG00000136709.12,40.48477829,-4.03731465,0.839738761,-4.80782219,1.53E-06,0.000239082,ENSG00000136709.12,WDR33
ENSG00000140526.18,36229.67146,-5.045786227,0.81111966,-6.220766771,4.95E-10,4.27E-07,ENSG00000140526.18,ABHD2
ENSG00000143546.10,18332.15369,-6.136393854,1.306429935,-4.697070764,2.64E-06,0.000366272,ENSG00000143546.10,S100A8
ENSG00000143554.14,42898.02466,-4.955771581,0.716135475,-6.920159322,4.51E-12,1.17E-08,ENSG00000143554.14,SLC27A3
ENSG00000143578.16,20035.22688,-4.495037721,0.954677544,-4.708435586,2.50E-06,0.000351456,ENSG00000143578.16,CREB3L4
ENSG00000145907.16,893.780801,-5.324502414,0.850593729,-6.259748026,3.86E-10,3.50E-07,ENSG00000145907.16,G3BP1
ENSG00000153822.14,2064.100096,-4.267127586,0.894731902,-4.769168928,1.85E-06,0.000277546,ENSG00000153822.14,KCNJ16
ENSG00000154252.12,803.1200683,-4.179956465,0.762444378,-5.482310039,4.20E-08,1.24E-05,ENSG00000154252.12,GAL3ST2
ENSG00000157021.9,398.0379326,-4.885781499,0.983485428,-4.96782297,6.77E-07,0.000123526,ENSG00000157021.9,FAM92A1P1
ENSG00000159592.11,424.6878321,-4.12451884,0.766562554,-5.380537854,7.43E-08,1.98E-05,ENSG00000159592.11,GPBP1L1
ENSG00000163218.15,52312.89287,-5.361456011,0.99699363,-5.377623135,7.55E-08,2.00E-05,ENSG00000163218.15,PGLYRP4
ENSG00000163249.13,65408.49486,-4.509076859,0.656289081,-6.870565104,6.39E-12,1.33E-08,ENSG00000163249.13,CCNYL1
ENSG00000166558.11,14102.49619,-5.123007481,0.836814732,-6.12203309,9.24E-10,6.19E-07,ENSG00000166558.11,SLC38A8
ENSG00000166676.17,20.63660643,-5.161221581,0.87009824,-5.931768787,3.00E-09,1.53E-06,ENSG00000166676.17,TVP23A
ENSG00000167670.16,3223.08298,-4.856268604,0.790620612,-6.142350111,8.13E-10,5.74E-07,ENSG00000167670.16,CHAF1A
ENSG00000167769.5,8488.089396,-4.613591012,0.720717974,-6.401381921,1.54E-10,1.76E-07,ENSG00000167769.5,ACER1
ENSG00000169495.5,6737.718574,-4.804487988,0.926624096,-5.184937461,2.16E-07,4.88E-05,ENSG00000169495.5,HTRA4
ENSG00000169550.14,2072.366621,-4.859069164,0.948084686,-5.125142548,2.97E-07,6.56E-05,ENSG00000169550.14,MUC15
ENSG00000169618.7,5287.712739,-6.666638696,1.071049126,-6.224400482,4.83E-10,4.27E-07,ENSG00000169618.7,PROKR1
ENSG00000170439.7,4745.609549,-4.805524316,0.953022608,-5.042403271,4.60E-07,9.26E-05,ENSG00000170439.7,METTL7B
ENSG00000170486.11,100895.766,-6.232561826,1.140602482,-5.464271669,4.65E-08,1.32E-05,ENSG00000170486.11,KRT72
